Product ID,Active (0/1),Name *,Description,Categories (x y z …),Wholesale price,Supplier
1,1,Alfabrega,,Verdures,,Cal Sitgetí
2,1,Alberginia,,Verdures,,Cal Sitgetí
3,1,Alls secs,,Verdures,,Cal Sitgetí
4,1,Alvocat hass,,Verdures,,Cal Sitgetí
5,1,Bleda,,Verdures,,Cal Sitgetí
6,1,Carbassó,,Verdures,,Cal Sitgetí
7,1,Ceba seca,,Verdures,,Cal Sitgetí
8,1,Ceba tendra,,Verdures,,Cal Sitgetí
9,1,Cogombre,,Verdures,,Cal Sitgetí
10,1,Col kale,,Verdures,,Cal Sitgetí
11,1,Col,,Verdures,,Cal Sitgetí
12,1,Enciam roure verd,,Verdures,,Cal Sitgetí
13,1,Enciam roure negre,,Verdures,,Cal Sitgetí
14,1,Enciam meravella,,Verdures,,Cal Sitgetí
15,1,Gengibre,,Verdures,,Cal Sitgetí
16,1,Kiwi,,Fruites,,Cal Sitgetí
17,1,Llimona,,Fruites,,Cal Sitgetí
18,1,Mongeta plana,,Verdures,,Cal Sitgetí
19,1,Mongeta fina,,Verdures,,Cal Sitgetí
20,1,Pastanaga,,Verdures,,Cal Sitgetí
21,1,Patata blanca,,Verdures,,Cal Sitgetí
22,1,Pebrot verd,,Verdures,,Cal Sitgetí
23,1,Plàtan,,Fruites,,Cal Sitgetí
24,1,Pera sant joan,,Fruites,,Cal Sitgetí
25,1,Poma fugi,,Fruites,,Cal Sitgetí
26,1,Poma golden,,Fruites,,Cal Sitgetí
27,1,Porro,,Verdures,,Cal Sitgetí
28,1,Pressec paraguayo,,Fruites,,Cal Sitgetí
29,1,Préssec groc,,Fruites,,Cal Sitgetí
30,1,Pruna,,Fruites,,Cal Sitgetí
31,1,Raves,,Verdures,,Cal Sitgetí
32,1,Remolatxa,,Verdures,,Cal Sitgetí
33,1,Tomàquet ,,Verdures,,Cal Sitgetí
34,1,Tomàquet cor de bou,,Verdures,,Cal Sitgetí
35,1,Tomàquet pebrot,,Verdures,,Cal Sitgetí
36,1,"Pagès en motlle (motlle, blanc) (700g)",,Pa I pastisseria,,L’aresta
37,1,"Pagès en motlle multillavors (motlle, blanc) (700g)",,Pa I pastisseria,,L’aresta
38,1,"Pagès (rodó, blanc) (900g)",,Pa I pastisseria,,L’aresta
39,1,"Rústic (amb malta d'espelta, rodó, blanc) (900g)",,Pa I pastisseria,,L’aresta
40,1,Forment (rodó semi-integral) (900g),,Pa I pastisseria,,L’aresta
41,1,Forment multillavors (rodó semi-integral) (900g),,Pa I pastisseria,,L’aresta
42,1,Forment en motlle (semi-integral) (900g),,Pa I pastisseria,,L’aresta
43,1,Forment multillavors en motlle (semi-integral) (900g),,Pa I pastisseria,,L’aresta
44,1,Espelta 100% integral (motlle) (900g),,Pa I pastisseria,,L’aresta
45,1,Espelta multillavors 100% integral (motlle) (900g),,Pa I pastisseria,,L’aresta
46,1,"Espelta semi (motlle, semi-integral) (600g)",,Pa I pastisseria,,L’aresta
47,1,"Blat egipci persa (camut) (motlle, semi-integral) (600g)",,Pa I pastisseria,,L’aresta
48,1,"Pa de sègol (motlle, semi-integral) (900g)",,Pa I pastisseria,,L’aresta
49,1,Motlle anglès - blanc enriquit  (450g),,Pa I pastisseria,,L’aresta
50,1,Motlle anglès - blanc enriquit (900g),,Pa I pastisseria,,L’aresta
51,1,Llavors blanc (rodó) (600g),,Pa I pastisseria,,L’aresta
52,1,Llavors semi-integral (motlle) (600g),,Pa I pastisseria,,L’aresta
53,1,Nous (blanc - rodó) (600g),,Pa I pastisseria,,L’aresta
54,1,Pa de sèsam (semi-integral) (motlle) (600g),,Pa I pastisseria,,L’aresta
55,1,"Pa d'olives (semi-integral, motlle) (600g)",,Pa I pastisseria,,L’aresta
56,1,Pa de fajol (100% integral) (600g),,Pa I pastisseria,,L’aresta
57,1,Panets hamburguesa 2 unitats de 100 gr,,Pa I pastisseria,,L’aresta
