Product ID,Active (0/1),Quantity,"Categories (x,y,z …)",Name *,Description,Price,Supplier
1,1,5000,Verdures,Alfabrega,Preu per manat,"1,20",Cal Sitgetí
2,1,5001,Verdures,Alberginia,Preu el kilo,"2,50",Cal Sitgetí
3,1,5002,Verdures,Alls secs,Preu per unitat,"0,60",Cal Sitgetí
4,1,5003,Verdures,Alvocat hass,Preu per unitat,"7,00",Cal Sitgetí
5,1,5004,Verdures,Bleda,Preu per unitat,"2,00",Cal Sitgetí
6,1,5005,Verdures,Carbassó,Preu per unitat,"2,20",Cal Sitgetí
7,1,5006,Verdures,Ceba seca,Preu per unitat,"1,70",Cal Sitgetí
8,1,5007,Verdures,Ceba tendra,Preu per manat,"1,50",Cal Sitgetí
9,1,5008,Verdures,Cogombre,Preu per unitat,"2,20",Cal Sitgetí
10,1,5009,Verdures,Col kale,Preu per manat,"1,50",Cal Sitgetí
11,1,5010,Verdures,Col,Preu per unitat,"1,50",Cal Sitgetí
12,1,5011,Verdures,Enciam roure verd,Preu per unitat,"1,00",Cal Sitgetí
13,1,5012,Verdures,Enciam roure negre,Preu per unitat,"1,00",Cal Sitgetí
14,1,5013,Verdures,Enciam meravella,Preu per unitat,"1,00",Cal Sitgetí
15,1,5014,Verdures,Gengibre,Preu el kilo,"9,00",Cal Sitgetí
16,1,5015,Fruites,Kiwi,Preu el kilo,"4,70",Cal Sitgetí
17,1,5016,Fruites,Llimona,Preu el kilo,"2,8",Cal Sitgetí
18,1,5017,Verdures,Mongeta plana,Preu el kilo,"5,50",Cal Sitgetí
19,1,5018,Verdures,Mongeta fina,Preu el kilo,6,Cal Sitgetí
20,1,5019,Verdures,Pastanaga,Preu per manat,2,Cal Sitgetí
21,1,5020,Verdures,Patata blanca,Preu el kilo,"1,5",Cal Sitgetí
22,1,5021,Verdures,Pebrot verd,Preu el kilo,"3,00",Cal Sitgetí
23,1,5022,Fruites,Plàtan,Preu el kilo,"2,9",Cal Sitgetí
